timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-01-01 00:00:00,3330.93,3335.4,3329.32,3335.4,54.9012,1735689779999,182959.18596900,178,29.62550000,98730.22806500,0
2025-01-01 00:03:00,3335.41,3335.65,3331.59,3335.65,32.8579,1735689959999,109533.50380500,94,17.75780000,59187.39481900,0
2025-01-01 00:06:00,3335.63,3335.63,3332.31,3335.1,27.9443,1735690139999,93177.78180100,112,20.58050000,68622.54491200,0
2025-01-01 00:09:00,3335.33,3337.35,3334.07,3336.69,45.6082,1735690319999,152141.77235400,129,27.26120000,90929.04095300,0
2025-01-01 00:12:00,3337.21,3342.04,3336.21,3341.33,72.4508,1735690499999,241889.60574400,281,39.94310000,133349.15644400,0
2025-01-01 00:15:00,3341.33,3345.71,3340.69,3345.48,207.2072,1735690679999,692976.32032000,284,157.92600000,528212.62119700,0
2025-01-01 00:18:00,3345.49,3345.79,3342.89,3343.93,33.1612,1735690859999,110897.15308600,108,16.64250000,55652.79671400,0
2025-01-01 00:21:00,3344.3,3346.58,3340.84,3342.79,33.2577,1735691039999,111195.14259100,112,10.68600000,35733.86960400,0
2025-01-01 00:24:00,3342.79,3343.57,3342.18,3342.75,10.514,1735691219999,35148.38284000,43,5.93820000,19851.42706000,0
2025-01-01 00:27:00,3342.74,3342.83,3340.56,3342.83,11.6404,1735691399999,38892.10211400,47,4.81330000,16080.89182000,0
2025-01-01 00:30:00,3343.22,3350.26,3342.03,3349.21,158.8411,1735691579999,531569.67173000,394,102.58010000,343205.96902100,0
2025-01-01 00:33:00,3348.83,3351.5,3348.83,3350.56,43.4944,1735691759999,145717.28929900,149,30.27050000,101414.04573800,0
2025-01-01 00:36:00,3350.58,3351.99,3348.91,3351.99,19.2555,1735691939999,64503.39454900,74,7.83450000,26242.44235800,0
2025-01-01 00:39:00,3351.99,3354.09,3348.92,3348.92,41.8545,1735692119999,140293.22346500,192,20.96100000,70258.92358400,0
2025-01-01 00:42:00,3348.92,3351.05,3348.83,3349.43,17.2349,1735692299999,57732.81143100,56,7.29010000,24416.62489300,0
2025-01-01 00:45:00,3349.04,3352.15,3347.02,3350.57,37.7793,1735692479999,126515.13392000,113,7.52850000,25214.60699000,0
2025-01-01 00:48:00,3350.57,3352.73,3348.79,3352.53,24.8556,1735692659999,83295.00915600,80,22.32630000,74819.08257400,0
2025-01-01 00:51:00,3352.36,3354.88,3351.2,3354.88,33.8036,1735692839999,113325.05011500,102,24.31380000,81505.80380200,0
2025-01-01 00:54:00,3354.68,3356.24,3351.39,3353.2,20.8687,1735693019999,69988.21130100,106,11.92530000,39991.75572200,0

